website,vin,img_src,year,model,make,name,price,href
https://www.beavertontoyota.com,7MUFBABG2PV001183,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos25_01_1280/cc_2023tos250009_01_1280_d16.png?bg-color=FFFFFF&width=300,2023,Corolla Cross,Toyota,2023 Toyota Corolla Cross Hybrid XSE with Accessories,37494,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Corolla+Cross-Hybrid+XSE+with+Accessories-7MUFBABG2PV001183
https://www.beavertontoyota.com,7MUFBABG2PV003967,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos25_01_1280/cc_2023tos250007_01_1280_d10.png?bg-color=FFFFFF&width=300,2023,Corolla Cross,Toyota,2023 Toyota Corolla Cross Hybrid XSE,34909,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Corolla+Cross-Hybrid+XSE-7MUFBABG2PV003967
https://www.beavertontoyota.com,7SVAAABA1PX016244,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos13_01_1280/cc_2023tos130018_01_1280_089.png?bg-color=FFFFFF&width=300,2023,Sequoia,Toyota,2023 Toyota Sequoia Platinum,79535,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Sequoia-Platinum-7SVAAABA1PX016244
https://www.beavertontoyota.com,7SVAAABA5PX016747,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos13_01_1280/cc_2023tos130024_01_1280_8x8.png?bg-color=FFFFFF&width=300,2023,Sequoia,Toyota,2023 Toyota Sequoia Platinum,79458,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Sequoia-Platinum-7SVAAABA5PX016747
https://www.beavertontoyota.com,4T1S31AK8PU617702,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023toc20_01_1280/cc_2023toc200086_01_1280_040.png?bg-color=FFFFFF&width=300,2023,Camry Hybrid,Toyota,2023 Toyota Camry Hybrid SE with Accessories,35818,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Camry+Hybrid-SE+with+Accessories-4T1S31AK8PU617702
https://www.beavertontoyota.com,4T1G31AK7PU614862,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023toc20_01_1280/cc_2023toc200086_01_1280_040.png?bg-color=FFFFFF&width=300,2023,Camry Hybrid,Toyota,2023 Toyota Camry Hybrid SE,31713,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-Camry+Hybrid-SE-4T1G31AK7PU614862
https://www.beavertontoyota.com,JTMABACA1PA022876,https://www.beavertontoyota.com/inventoryphotos/8759/jtmabaca1pa022876/ip/1.jpg?bg-color=FFFFFF&width=300,2023,bZ4X,Toyota,2023 Toyota bZ4X XLE,43052,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-bZ4X-XLE-JTMABACA1PA022876
https://www.beavertontoyota.com,JTMABACA7PA022719,https://www.beavertontoyota.com/inventoryphotos/8759/jtmabaca7pa022719/ip/1.jpg?bg-color=FFFFFF&width=300,2023,bZ4X,Toyota,2023 Toyota bZ4X XLE,46609,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-bZ4X-XLE-JTMABACA7PA022719
https://www.beavertontoyota.com,JTMABACA0PA028913,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos24_01_1280/cc_2023tos240007_01_1280_089.png?bg-color=FFFFFF&width=300,2023,bZ4X,Toyota,2023 Toyota bZ4X Limited,51939,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-bZ4X-Limited-JTMABACA0PA028913
https://www.beavertontoyota.com,JTMABACAXPA029082,https://www.beavertontoyota.com/assets/stock/colormatched_01/transparent/1280/cc_2023tos24_01_1280/cc_2023tos240013_01_1280_2mr.png?bg-color=FFFFFF&width=300,2023,bZ4X,Toyota,2023 Toyota bZ4X Limited,51929,https://www.beavertontoyota.com/new-Beaverton-2023-Toyota-bZ4X-Limited-JTMABACAXPA029082
